,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Pangnirtung,66.15,-65.71,-8.0,72,40,1.5,CA,1603651903
1,Santa Fe,-31.63,-60.7,25.56,77,8,1.34,AR,1603651904
2,Sitka,57.05,-135.33,4.0,80,90,3.1,US,1603651905
3,Qaanaaq,77.48,-69.36,-10.8,80,100,5.56,GL,1603651893
4,Iquitos,-3.75,-73.25,35.0,44,75,4.1,PE,1603651908
5,Busselton,-33.65,115.33,14.99,74,0,0.74,AU,1603651890
6,Lufilufi,-13.87,-171.6,25.0,88,75,3.1,WS,1603651911
7,Rikitea,-23.12,-134.97,22.9,80,100,8.26,PF,1603651912
8,Aginskoye,51.1,114.53,0.49,95,100,3.65,RU,1603651914
9,Koygorodok,60.45,51.0,-1.97,99,91,2.66,RU,1603651915
10,Husavik,66.04,-17.34,6.0,81,75,3.1,IS,1603651917
11,Cayenne,4.93,-52.33,32.0,59,20,5.1,GF,1603651679
12,Bluff,-46.6,168.33,7.78,96,41,0.89,NZ,1603651919
13,Ushuaia,-54.8,-68.3,11.0,50,40,2.1,AR,1603651920
14,Katsuura,35.13,140.3,13.0,71,0,2.6,JP,1603651922
15,Rudnogorsk,57.26,103.75,-6.45,97,50,2.79,RU,1603651924
16,Khatanga,71.97,102.5,-14.08,95,92,4.53,RU,1603651925
17,Cidreira,-30.18,-50.21,21.75,82,0,9.47,BR,1603651926
18,Port Alfred,-33.59,26.89,18.74,81,86,3.88,ZA,1603651656
19,Cape Town,-33.93,18.42,17.22,77,20,8.7,ZA,1603651863
20,Genhe,50.78,121.52,-1.61,96,100,1.19,CN,1603651930
21,Kaseda-shirakame,31.42,130.32,15.66,69,96,2.26,JP,1603651931
22,Hermanus,-34.42,19.23,16.67,77,97,0.89,ZA,1603651664
23,Dzerzhinskoye,56.83,95.23,-3.51,87,82,2.58,RU,1603651934
24,Hilo,19.73,-155.09,28.0,69,40,2.1,US,1603651935
25,Atuona,-9.8,-139.03,26.07,74,0,9.09,PF,1603651887
26,Haines Junction,60.75,-137.51,-2.47,91,100,0.53,CA,1603651938
27,Bethel,41.37,-73.41,11.11,50,1,2.6,US,1603651752
28,Anadyr,64.75,177.48,-5.0,100,90,2.0,RU,1603651941
29,Terra Santa,-2.1,-56.49,37.77,29,37,2.34,BR,1603651942
30,Saskylakh,71.92,114.08,-12.72,93,100,5.66,RU,1603651944
31,Perth,-31.93,115.83,18.89,88,0,2.6,AU,1603651872
32,Dingle,11.0,122.67,24.05,92,100,8.42,PH,1603651946
33,Novy Urengoy,66.08,76.63,-12.99,96,61,3.88,RU,1603651947
34,Manga,11.66,-1.07,28.98,23,1,1.99,BF,1603651949
35,Saint George,37.1,-113.58,22.22,35,40,6.2,US,1603651760
36,Kawalu,-7.38,108.21,22.71,93,100,0.95,ID,1603651951
37,Charters Towers,-20.1,146.27,22.35,50,0,4.18,AU,1603651953
38,Severo-Kuril'sk,50.68,156.12,6.61,83,99,2.35,RU,1603651955
39,Castro,-24.79,-50.01,23.03,71,2,1.28,BR,1603651956
40,Cabo San Lucas,22.89,-109.91,33.33,46,20,3.1,MX,1603651958
41,New Norfolk,-42.78,147.06,5.56,70,3,0.81,AU,1603651959
42,Vestmanna,62.16,-7.17,7.0,93,3,3.6,FO,1603651961
43,Akranes,64.32,-22.07,5.0,80,75,2.6,IS,1603651962
44,Hong Kong,22.29,114.16,23.89,79,100,0.45,HK,1603651747
45,Tiksi,71.69,128.87,-15.15,90,100,13.65,RU,1603651905
46,Butaritari,3.07,172.79,27.25,69,54,4.01,KI,1603651886
47,Albany,42.6,-73.97,10.56,44,0,2.6,US,1603651967
48,Arraial do Cabo,-22.97,-42.03,23.0,73,75,4.1,BR,1603651889
49,Faanui,-16.48,-151.75,26.62,69,0,1.79,PF,1603651970
50,Qaqortoq,60.72,-46.03,4.0,55,100,5.7,GL,1603651955
51,Hobart,-42.88,147.33,8.0,70,90,2.6,AU,1603651971
52,Vaini,-21.2,-175.2,21.0,100,90,5.7,TO,1603651973
53,Chokurdakh,70.63,147.92,-14.23,93,0,4.63,RU,1603651880
54,Klyuchi,52.27,79.17,3.42,82,100,6.81,RU,1603651975
55,Mount Gambier,-37.83,140.77,5.0,93,75,3.1,AU,1603651977
56,Hofn,64.25,-15.21,6.59,79,100,6.11,IS,1603651979
57,Mount Isa,-20.73,139.5,22.0,30,100,5.1,AU,1603651981
58,General Roca,-39.03,-67.58,20.0,20,0,7.2,AR,1603651982
59,Mataura,-46.19,168.86,7.78,96,100,0.89,NZ,1603651984
60,Lebu,-37.62,-73.65,12.46,59,0,4.32,CL,1603651985
61,Bambous Virieux,-20.34,57.76,24.0,73,75,5.7,MU,1603651986
62,São Filipe,14.9,-24.5,28.81,57,100,7.2,CV,1603651988
63,Puyang,29.46,119.89,16.67,34,77,0.49,CN,1603651990
64,Mocuba,-16.84,36.99,23.9,78,65,2.34,MZ,1603651991
65,Constitución,-35.33,-72.42,15.64,53,0,8.08,CL,1603651993
66,Thompson,55.74,-97.86,-2.0,58,75,5.7,CA,1603651994
67,Adiaké,5.29,-3.3,26.0,88,20,0.5,CI,1603651995
68,Daru,-9.08,143.21,24.97,90,77,2.98,PG,1603651997
69,Kapaa,22.08,-159.32,25.56,88,40,2.6,US,1603651998
70,Avarua,-21.21,-159.78,24.0,73,64,4.6,CK,1603652000
71,Iqaluit,63.75,-68.51,-11.0,78,40,4.6,CA,1603652001
72,Panabá,21.28,-88.27,28.23,81,45,6.49,MX,1603652003
73,Baykit,61.67,96.37,-11.36,92,33,0.39,RU,1603652005
74,Ambon City,-3.7,128.18,24.44,16,63,0.92,ID,1603652007
75,Qingyang,37.5,121.26,12.26,64,16,1.73,CN,1603652008
76,Nikolskoye,59.7,30.79,6.0,87,90,1.0,RU,1603652010
77,Bourail,-21.57,165.48,21.79,81,0,1.95,NC,1603652012
78,Tasiilaq,65.61,-37.64,0.0,98,100,1.5,GL,1603651897
